service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
AFA24GEN-1038-Sunday-00_C17,0,0,0,0,0,0,1,20241215,20250601
AFA24GEN-1039-Saturday-00_C33,0,0,0,0,0,1,0,20241221,20250607
AFA24GEN-1093-Weekday-00,1,1,1,1,1,0,0,20241216,20250606
AFA24GEN-1093-Weekday-00_C69,1,1,1,1,1,0,0,20241216,20250606
AFA24GEN-1093-Weekday-00_C8,1,1,1,1,1,0,0,20241216,20250606
AFA24GEN-2042-Saturday-00_C9,0,0,0,0,0,1,0,20241221,20250607
AFA24GEN-2048-Sunday-00_C6,0,0,0,0,0,0,1,20241215,20250601
AFA24GEN-2099-Weekday-00,1,1,1,1,1,0,0,20241216,20250606
AFA24GEN-2099-Weekday-00_C13,1,1,1,1,1,0,0,20241216,20250606
AFA24GEN-2099-Weekday-00_C71,1,1,1,1,1,0,0,20241216,20250606
AFA24GEN-2099-Weekday-00_C78,1,1,1,1,1,0,0,20241216,20250606
AFA24GEN-3040-Saturday-00_C2,0,0,0,0,0,1,0,20241221,20250607
AFA24GEN-3042-Sunday-00_C47,0,0,0,0,0,0,1,20241215,20250601
AFA24GEN-3091-Weekday-00_C37,1,1,1,1,1,0,0,20241216,20250606
AFA24GEN-4043-Saturday-00_C30,0,0,0,0,0,1,0,20241221,20250607
AFA24GEN-4049-Sunday-00_C25,0,0,0,0,0,0,1,20241215,20250601
AFA24GEN-4104-Weekday-00_C40,1,1,1,1,1,0,0,20241216,20250606
AFA24GEN-4104-Weekday-00_C41,1,1,1,1,1,0,0,20241216,20250606
AFA24GEN-4104-Weekday-00_C74,1,1,1,1,1,0,0,20241216,20250606
AFA24GEN-5044-Saturday-00_C66,0,0,0,0,0,1,0,20241221,20250607
AFA24GEN-5049-Sunday-00_C58,0,0,0,0,0,0,1,20241215,20250601
AFA24GEN-5113-Weekday-00,1,1,1,1,1,0,0,20241216,20250606
AFA24GEN-5113-Weekday-00_C53,1,1,1,1,1,0,0,20241216,20250606
AFA24GEN-6031-Sunday-00_C20,0,0,0,0,0,0,1,20241215,20250601
AFA24GEN-6034-Saturday-00_C51,0,0,0,0,0,1,0,20241221,20250607
AFA24GEN-6090-Weekday-00_C10,1,1,1,1,1,0,0,20241216,20250606
AFA24GEN-7024-Saturday-00_C44,0,0,0,0,0,1,0,20241221,20250607
AFA24GEN-7026-Sunday-00_C64,0,0,0,0,0,0,1,20241215,20250601
AFA24GEN-7064-Weekday-00_C29,1,1,1,1,1,0,0,20241216,20250606
AFA24GEN-GS013-Saturday-00,0,0,0,0,0,1,0,20241221,20250607
AFA24GEN-GS013-Sunday-00,0,0,0,0,0,0,1,20241215,20250601
AFA24GEN-GS022-Weekday-00,1,1,1,1,1,0,0,20241216,20250606
BFA24GEN-A046-Saturday-00_C65,0,0,0,0,0,1,0,20241221,20250607
BFA24GEN-A054-Sunday-00_C36,0,0,0,0,0,0,1,20241215,20250601
BFA24GEN-A086-Weekday-00_C62,1,1,1,1,1,0,0,20241216,20250606
BFA24GEN-B085-Weekday-00_C12,1,1,1,1,1,0,0,20241216,20250606
