service_id,date,exception_type
AFA24GEN-1038-Sunday-00_C17,20241225,1
AFA24GEN-1038-Sunday-00_C17,20250101,1
AFA24GEN-1038-Sunday-00_C17,20250504,2
AFA24GEN-1038-Sunday-00_C17,20250526,1
AFA24GEN-1039-Saturday-00_C33,20250217,1
AFA24GEN-1039-Saturday-00_C33,20250426,2
AFA24GEN-1039-Saturday-00_C33,20250503,2
AFA24GEN-1093-Weekday-00,20241225,2
AFA24GEN-1093-Weekday-00,20250101,2
AFA24GEN-1093-Weekday-00,20250217,2
AFA24GEN-1093-Weekday-00,20250526,2
AFA24GEN-1093-Weekday-00_C69,20241225,2
AFA24GEN-1093-Weekday-00_C69,20250101,2
AFA24GEN-1093-Weekday-00_C69,20250217,2
AFA24GEN-1093-Weekday-00_C69,20250428,2
AFA24GEN-1093-Weekday-00_C69,20250429,2
AFA24GEN-1093-Weekday-00_C69,20250430,2
AFA24GEN-1093-Weekday-00_C69,20250501,2
AFA24GEN-1093-Weekday-00_C69,20250526,2
AFA24GEN-1093-Weekday-00_C8,20241225,2
AFA24GEN-1093-Weekday-00_C8,20250101,2
AFA24GEN-1093-Weekday-00_C8,20250217,2
AFA24GEN-1093-Weekday-00_C8,20250430,2
AFA24GEN-1093-Weekday-00_C8,20250526,2
AFA24GEN-2042-Saturday-00_C9,20250217,1
AFA24GEN-2042-Saturday-00_C9,20250426,2
AFA24GEN-2048-Sunday-00_C6,20241225,1
AFA24GEN-2048-Sunday-00_C6,20250101,1
AFA24GEN-2048-Sunday-00_C6,20250427,2
AFA24GEN-2048-Sunday-00_C6,20250526,1
AFA24GEN-2099-Weekday-00,20241225,2
AFA24GEN-2099-Weekday-00,20250101,2
AFA24GEN-2099-Weekday-00,20250217,2
AFA24GEN-2099-Weekday-00,20250526,2
AFA24GEN-2099-Weekday-00_C13,20241225,2
AFA24GEN-2099-Weekday-00_C13,20250101,2
AFA24GEN-2099-Weekday-00_C13,20250217,2
AFA24GEN-2099-Weekday-00_C13,20250429,2
AFA24GEN-2099-Weekday-00_C13,20250430,2
AFA24GEN-2099-Weekday-00_C13,20250501,2
AFA24GEN-2099-Weekday-00_C13,20250502,2
AFA24GEN-2099-Weekday-00_C13,20250526,2
AFA24GEN-2099-Weekday-00_C71,20241225,2
AFA24GEN-2099-Weekday-00_C71,20250101,2
AFA24GEN-2099-Weekday-00_C71,20250217,2
AFA24GEN-2099-Weekday-00_C71,20250429,2
AFA24GEN-2099-Weekday-00_C71,20250430,2
AFA24GEN-2099-Weekday-00_C71,20250501,2
AFA24GEN-2099-Weekday-00_C71,20250502,2
AFA24GEN-2099-Weekday-00_C71,20250526,2
AFA24GEN-2099-Weekday-00_C78,20241225,2
AFA24GEN-2099-Weekday-00_C78,20250101,2
AFA24GEN-2099-Weekday-00_C78,20250217,2
AFA24GEN-2099-Weekday-00_C78,20250428,2
AFA24GEN-2099-Weekday-00_C78,20250429,2
AFA24GEN-2099-Weekday-00_C78,20250430,2
AFA24GEN-2099-Weekday-00_C78,20250501,2
AFA24GEN-2099-Weekday-00_C78,20250526,2
AFA24GEN-3040-Saturday-00_C2,20250217,1
AFA24GEN-3040-Saturday-00_C2,20250426,2
AFA24GEN-3040-Saturday-00_C2,20250503,2
AFA24GEN-3042-Sunday-00_C47,20241225,1
AFA24GEN-3042-Sunday-00_C47,20250101,1
AFA24GEN-3042-Sunday-00_C47,20250427,2
AFA24GEN-3042-Sunday-00_C47,20250504,2
AFA24GEN-3042-Sunday-00_C47,20250526,1
AFA24GEN-3091-Weekday-00_C37,20241225,2
AFA24GEN-3091-Weekday-00_C37,20250101,2
AFA24GEN-3091-Weekday-00_C37,20250217,2
AFA24GEN-3091-Weekday-00_C37,20250428,2
AFA24GEN-3091-Weekday-00_C37,20250429,2
AFA24GEN-3091-Weekday-00_C37,20250430,2
AFA24GEN-3091-Weekday-00_C37,20250501,2
AFA24GEN-3091-Weekday-00_C37,20250502,2
AFA24GEN-3091-Weekday-00_C37,20250526,2
AFA24GEN-4043-Saturday-00_C30,20250217,1
AFA24GEN-4043-Saturday-00_C30,20250426,2
AFA24GEN-4049-Sunday-00_C25,20241225,1
AFA24GEN-4049-Sunday-00_C25,20250101,1
AFA24GEN-4049-Sunday-00_C25,20250427,2
AFA24GEN-4049-Sunday-00_C25,20250526,1
AFA24GEN-4104-Weekday-00_C40,20241225,2
AFA24GEN-4104-Weekday-00_C40,20250101,2
AFA24GEN-4104-Weekday-00_C40,20250217,2
AFA24GEN-4104-Weekday-00_C40,20250428,2
AFA24GEN-4104-Weekday-00_C40,20250429,2
AFA24GEN-4104-Weekday-00_C40,20250430,2
AFA24GEN-4104-Weekday-00_C40,20250501,2
AFA24GEN-4104-Weekday-00_C40,20250502,2
AFA24GEN-4104-Weekday-00_C40,20250526,2
AFA24GEN-4104-Weekday-00_C41,20241225,2
AFA24GEN-4104-Weekday-00_C41,20250101,2
AFA24GEN-4104-Weekday-00_C41,20250217,2
AFA24GEN-4104-Weekday-00_C41,20250428,2
AFA24GEN-4104-Weekday-00_C41,20250526,2
AFA24GEN-4104-Weekday-00_C74,20241225,2
AFA24GEN-4104-Weekday-00_C74,20250101,2
AFA24GEN-4104-Weekday-00_C74,20250217,2
AFA24GEN-4104-Weekday-00_C74,20250428,2
AFA24GEN-4104-Weekday-00_C74,20250429,2
AFA24GEN-4104-Weekday-00_C74,20250430,2
AFA24GEN-4104-Weekday-00_C74,20250501,2
AFA24GEN-4104-Weekday-00_C74,20250526,2
AFA24GEN-5044-Saturday-00_C66,20250217,1
AFA24GEN-5044-Saturday-00_C66,20250426,2
AFA24GEN-5044-Saturday-00_C66,20250503,2
AFA24GEN-5049-Sunday-00_C58,20241225,1
AFA24GEN-5049-Sunday-00_C58,20250101,1
AFA24GEN-5049-Sunday-00_C58,20250427,2
AFA24GEN-5049-Sunday-00_C58,20250504,2
AFA24GEN-5049-Sunday-00_C58,20250526,1
AFA24GEN-5113-Weekday-00,20241225,2
AFA24GEN-5113-Weekday-00,20250101,2
AFA24GEN-5113-Weekday-00,20250217,2
AFA24GEN-5113-Weekday-00,20250526,2
AFA24GEN-5113-Weekday-00_C53,20241225,2
AFA24GEN-5113-Weekday-00_C53,20250101,2
AFA24GEN-5113-Weekday-00_C53,20250217,2
AFA24GEN-5113-Weekday-00_C53,20250502,2
AFA24GEN-5113-Weekday-00_C53,20250526,2
AFA24GEN-6031-Sunday-00_C20,20241225,1
AFA24GEN-6031-Sunday-00_C20,20250101,1
AFA24GEN-6031-Sunday-00_C20,20250427,2
AFA24GEN-6031-Sunday-00_C20,20250504,2
AFA24GEN-6031-Sunday-00_C20,20250526,1
AFA24GEN-6034-Saturday-00_C51,20250217,1
AFA24GEN-6034-Saturday-00_C51,20250426,2
AFA24GEN-6034-Saturday-00_C51,20250503,2
AFA24GEN-6090-Weekday-00_C10,20241225,2
AFA24GEN-6090-Weekday-00_C10,20250101,2
AFA24GEN-6090-Weekday-00_C10,20250217,2
AFA24GEN-6090-Weekday-00_C10,20250428,2
AFA24GEN-6090-Weekday-00_C10,20250429,2
AFA24GEN-6090-Weekday-00_C10,20250430,2
AFA24GEN-6090-Weekday-00_C10,20250501,2
AFA24GEN-6090-Weekday-00_C10,20250502,2
AFA24GEN-6090-Weekday-00_C10,20250526,2
AFA24GEN-7024-Saturday-00_C44,20250217,1
AFA24GEN-7024-Saturday-00_C44,20250426,2
AFA24GEN-7024-Saturday-00_C44,20250503,2
AFA24GEN-7026-Sunday-00_C64,20241225,1
AFA24GEN-7026-Sunday-00_C64,20250101,1
AFA24GEN-7026-Sunday-00_C64,20250427,2
AFA24GEN-7026-Sunday-00_C64,20250504,2
AFA24GEN-7026-Sunday-00_C64,20250526,1
AFA24GEN-7064-Weekday-00_C29,20241225,2
AFA24GEN-7064-Weekday-00_C29,20250101,2
AFA24GEN-7064-Weekday-00_C29,20250217,2
AFA24GEN-7064-Weekday-00_C29,20250428,2
AFA24GEN-7064-Weekday-00_C29,20250429,2
AFA24GEN-7064-Weekday-00_C29,20250430,2
AFA24GEN-7064-Weekday-00_C29,20250501,2
AFA24GEN-7064-Weekday-00_C29,20250502,2
AFA24GEN-7064-Weekday-00_C29,20250526,2
AFA24GEN-GS013-Saturday-00,20250217,1
AFA24GEN-GS013-Sunday-00,20241225,1
AFA24GEN-GS013-Sunday-00,20250101,1
AFA24GEN-GS013-Sunday-00,20250526,1
AFA24GEN-GS022-Weekday-00,20241225,2
AFA24GEN-GS022-Weekday-00,20250101,2
AFA24GEN-GS022-Weekday-00,20250217,2
AFA24GEN-GS022-Weekday-00,20250526,2
BFA24GEN-A046-Saturday-00_C65,20250217,1
BFA24GEN-A046-Saturday-00_C65,20250426,2
BFA24GEN-A046-Saturday-00_C65,20250503,2
BFA24GEN-A054-Sunday-00_C36,20241225,1
BFA24GEN-A054-Sunday-00_C36,20250101,1
BFA24GEN-A054-Sunday-00_C36,20250427,2
BFA24GEN-A054-Sunday-00_C36,20250504,2
BFA24GEN-A054-Sunday-00_C36,20250526,1
BFA24GEN-A086-Weekday-00_C62,20241225,2
BFA24GEN-A086-Weekday-00_C62,20250101,2
BFA24GEN-A086-Weekday-00_C62,20250217,2
BFA24GEN-A086-Weekday-00_C62,20250428,2
BFA24GEN-A086-Weekday-00_C62,20250429,2
BFA24GEN-A086-Weekday-00_C62,20250430,2
BFA24GEN-A086-Weekday-00_C62,20250501,2
BFA24GEN-A086-Weekday-00_C62,20250502,2
BFA24GEN-A086-Weekday-00_C62,20250526,2
BFA24GEN-B085-Weekday-00_C12,20241225,2
